"Lingua","Idioma"
"Pacchetti trovati","Resultados"
"Categoria","Actividad Empresarial"
"Categorie","Actividades Empresarial"
"Nazione","Nación"
"*Nazione","* Nación"
"Nazioni","Naciones"
"Tutte le nazioni","Todas las naciones"
"Regioni","Regiones"
"Anagrafiche","Contactos"
"anagrafiche","contactos"
"Prezzo","Precio"
"prezzo","precio" 
"iva escl.","sin IVA"
"Azioni","Acciones"
"Seleziona","Seleccionar"
"Carrello","Cesta"
"pacchetti","Bases de datos"
"0 prodotti nell carrello.","Tu cesta está vacía."
"Totale(iva escl.)","Total (sin IVA)"
"Totale IVA escl.","Total (sin IVA)"
"Totale IVA","Total IVA"
"iva","IVA"
"Importo IVA","Importe del IVA"
"Totale(iva incl.)","Total (IVA incluido)"
"Totale IVA incl.","Total (IVA incluido)"
"Rimuovi","Eliminar"
"Aggiungi al carrello","Añade a la Cesta"
"Acquista","Comprar"
"Vai alla cassa","Ver la Cesta"
"Il prodotto &egrave; stato aggiunto al carrello con successo!","Artículo añadido a la Cesta"
"Il prodotto &egrave; stato rimosso dal carrello con successo!","Artículo retirado de la Cesta"
"Il pacchetto &egrave; gi&agrave; nell carrello!","Este artículo ya estaba en su cesta"
"Si &egrave; verificato un errore riprova pi&ugrave; tardi!","Se ha producido un error. Por favor, inténtelo de nuevo más tarde o póngase en contacto con nosotros."
"Riepilogo carrello","Artículos incluidos en tu cesta"
"Torna indietro","Volver atras"
"Conferma l'ordine","Continuar con el pedido"
"Compila il form con i tuoi dati e clicca il pulsante 'Acquista'","Complete el formulario con sus datos y haga cick en 'Comprar'"
"Nome e cognome","Nombre y apellidos"
"Ragione sociale","Nombre de compañía"
"Città","Ciudad"
"Provincia","Estado / Provincia / Región"
"Telefono","Teléfono"
"Email di spedizione","Correo electrónico"
"Ripeti email di spedizione","Confirmar correo electrónico"
"Seleziona modalità di pagamento","Elige el medio de pago"
"Accetto le","Acepto"
"normativa","los términos y condiciones de uso"
"ACQUISTA","Comprar"
"Chiudi","Cerrar"
"Grazie per il tuo acquisto!","¡Gracias por su compra!"
"Ordine confermato!","¡Tu compra ha sito realizada con éxito!"
"Grazie per il tuo ordine! Ti confermiamo che il tuo ordine è stato effettuato con successo.","¡Gracias por su compra!"
"Qui sotto trovi le istruzioni per il pagamento","Instrucciones de pago:"
"Continua le spese","Volver a las compras"
"Stampa questa pagina","Imprimir esta página"
"Metodo di pagamento","Método de pago"
"Il tuo ordine: #","Confirmación de pedido #"
"su","en"
"Riepilogo acquisto","Resumen de la compra"
"Questo campo è obligatorio","Campo obligatorio"
"Bonifico bancario","Transferencia bancaria"
"Bonifico Bancario","Transferencia bancaria"
"bonifico","Transferencia bancaria"
"PayPal o carta di credito","PayPal o tarjeta de crédito"
"paypal","PayPal"
"Se non vieni reindirizzato automaticamente entro 5 secondi clicca qui.","Esta pagina se redireccionara automaticamente en 5 segundos. Si deses permanecer aqui y no ser redireccionado haz clic aqui!"
"La tua ricerca non ha prodotto nessun risultato!","La búsqueda no ha obtenido resultados!"
"Errore nella connessione al WebService, riprova a breve oppure contattaci","No se puede establecer la comunicación con el servidor Bancomail. Por favor, inténtelo de nuevo más tarde o contáctenos."
"Il servizio non è disponibile, riprova a breve oppure contattaci","No se puede establecer la comunicación con el servidor Bancomail. Por favor, inténtelo de nuevo más tarde o contáctenos."
"Connessione non riuscita: verifica le tue credenziali","Error de conexión: ver sus credenciales de inicio de sesión."
"Controlla la tua Email, ti abbiamo inviato un’email di conferma.","Te hemos enviado un correo electrónico de confirmación."
"Istruzioni per il pagamento:","Instrucciones de pago"
"Grazie per il tuo acquisto! Controlla la tua Email, ti abbiamo inviato un’email di conferma.","Gracias por su compra! Te hemos enviado un correo electrónico de confirmación."
"Target Database","Bases de datos"
"Codice fiscale","Código fiscal"
"incl.",""
"Verifica se hai compilato correttamente tutti i campi!","Compruebe si ha rellenado todos los campos correctamente!"
"Pacchetti in evidenza:","Directorios destacados:"
"condizioni di vendita","Condiciones de Venta"
"Accetto","Acepto"
"l'informativa","la normativa"
"sul trattamento dei dati","de privacidad"