"Lingua","Langue"
"Pacchetti trovati","Listes trouvées"
"Categoria","Secteur d'activité"
"Categorie","Secteurs d'activité"
"Nazione","Nation"
"*Nazione","*Nation"
"Nazioni","Nations"
"Tutte le nazioni","Toutes les nations"
"Regioni","Régions"
"Anagrafiche","Registres"
"anagrafiche","registres"
"Prezzo","Prix"
"prezzo","prix"
"iva escl.","hors TVA"
"Azioni","Actions"
"Seleziona","Sélectionner"
"Carrello","Panier"
"pacchetti","Bases de données"
"0 prodotti nell carrello.","Votre Panier est vide"
"Totale(iva escl.)","Total (hors TVA)"
"Totale IVA escl.","Total (hors TVA)"
"Totale IVA escl.","Total TVA"
"iva","TVA"
"Importo IVA","Montant de la TVA"
"Totale(iva incl.)","Total (TVA inclus)"
"Totale IVA incl.","Total (TVA inclus)"
"Rimuovi","Supprimer"
"Aggiungi al carrello","Ajouter au panier"
"Acquista","Acheter"
"Vai alla cassa","Voir le panier"
"Il prodotto &egrave; stato aggiunto al carrello con successo!","Ajouté au panier!"
"Il prodotto &egrave; stato rimosso dal carrello con successo!","Le produit a été supprimé"
"Il pacchetto &egrave; gi&agrave; nell carrello!","Le produit est déjà dans le panier"
"Si &egrave; verificato un errore riprova pi&ugrave; tardi!","Une erreur s'est produite, veuillez réessayer plus tard."
"Riepilogo carrello","Votre panier"
"Torna indietro","Retourner"
"Conferma l'ordine","Passer la commande" 
"Compila il form con i tuoi dati e clicca il pulsante 'Acquista'","Remplir le formulaire d’ordre et cliquer sur le bouton 'Acheter'"
"Nome e cognome","Nom et prénom"
"Ragione sociale","Raison Sociale"
"Città","Ville"
"Provincia","État / Province / Région"
"Telefono","Téléphone"
"Email di spedizione","Email"
"Ripeti email di spedizione","Email"
"Seleziona modalità di pagamento","Sélectionnez le moyen de paiement"
"Accetto le","J'accepte"
"normativa","les Conditions Générales de Vente"
"ACQUISTA","Acheter"
"Chiudi","Fermer"
"Grazie per il tuo acquisto!","Merci pour votre achat!"
"Ordine confermato!","Votre commande est confirmée."
"Grazie per il tuo ordine! Ti confermiamo che il tuo ordine è stato effettuato con successo.","Merci pour votre achat!"
"Qui sotto trovi le istruzioni per il pagamento","Instructions de paiement:"
"Continua le spese","Continuer vos achats"
"Stampa questa pagina","Imprimer cette page"
"Metodo di pagamento","Moyen de paiement"
"Il tuo ordine: #","Votre commande #"
"su","sur"
"Riepilogo acquisto","Votre commande"
"Questo campo è obligatorio","Ce champ est obligatoire"
"Bonifico bancario","Virement bancaire"
"Bonifico Bancario","Virement bancaire"
"bonifico","Virement bancaire"
"PayPal o carta di credito","PayPal ou carte de crédit"
"paypal","PayPal"
"Se non vieni reindirizzato automaticamente entro 5 secondi clicca qui.","Si vous n'êtes pas automatiquement redirigé dans 5 secondes, cliquez ici."
"La tua ricerca non ha prodotto nessun risultato!","Votre recherche n'a retourné aucun résultat."
"Errore nella connessione al WebService, riprova a breve oppure contattaci","Erreur de connexion au serveur. Veuillez contacter notre service client ou réessayer plus tard."
"Il servizio non è disponibile, riprova a breve oppure contattaci","Erreur de connexion au serveur. Veuillez contacter notre service client ou réessayer plus tard."
"Connessione non riuscita: verifica le tue credenziali","Erreur de connexion au serveur: informations de connexion erronées"
"Controlla la tua Email, ti abbiamo inviato un’email di conferma.","Vérifiez votre e-mail, nous avons envoyé un e-mail de confirmation."
"Istruzioni per il pagamento:","Instructions de paiement:"
"Grazie per il tuo acquisto! Controlla la tua Email, ti abbiamo inviato un’email di conferma.","Merci pour votre achat! Vérifiez votre e-mail, nous avons envoyé un e-mail de confirmation."
"Target Database","Bases de données"
"Codice fiscale","Code Insee"
"incl.",""
"Verifica se hai compilato correttamente tutti i campi!","Vérifiez si vous avez rempli tous les champs correctement!"
"Pacchetti in evidenza:","Listes en évidence:"
"condizioni di vendita","Conditions de vente"
"Accetto","J'accepte"
"l'informativa","la politique"
"sul trattamento dei dati","de confidentialité"